URL;Name;Land;Traeger;Promotionsrecht;Gruendung;Studierende;AS;WikiUrl;Stand
http://www.rsh-duesseldorf.de/;Robert-Schumann-Hochschule Düsseldorf;NW;staatlich;ja;1972;890;AS680;/wiki/Robert-Schumann-Hochschule_D%C3%BCsseldorf;2012/13 (WS)
http://www.hnee.de/;Hochschule für nachhaltige Entwicklung Eberswalde;BB;staatlich;nein;1992;2033;AS680;/wiki/Hochschule_f%C3%BCr_nachhaltige_Entwicklung_Eberswalde;2012/13 (WS)
http://www.fachhochschule-edenkoben.de/;Fachhochschule für Finanzen (Edenkoben);RP;staatlich;nein;1981;474;AS12360;/wiki/Fachhochschule_f%C3%BCr_Finanzen_(Edenkoben);2012/13 (WS)
http://www.ku.de/;Katholische Universität Eichstätt-Ingolstadt;BY;konfessionell;ja;1980;4910;AS680;/wiki/Katholische_Universit%C3%A4t_Eichst%C3%A4tt-Ingolstadt;2012/13 (WS)
http://www.nordakademie.de/;Nordakademie;SH;privat;nein;1992;1327;AS680;/wiki/Nordakademie;2012/13 (WS)
http://www.th-elstal.de/;Theologische Hochschule Elstal;BB;konfessionell;nein;1880;65;AS20773;/wiki/Theologische_Hochschule_Elstal;2015/16 (WS)
http://www.hs-emden-leer.de/;Hochschule Emden/Leer;NI;staatlich;nein;2009;4708;AS680;/wiki/Hochschule_Emden/Leer;2016/17 (WS)
http://www.fham.de/;Hochschule für angewandtes Management;BY;privat;nein;2004;2201;AS8767;/wiki/Hochschule_f%C3%BCr_angewandtes_Management_%E2%80%93_Fachhochschule;2012/13 (WS)
http://www.fh-erfurt.de/;Fachhochschule Erfurt;TH;staatlich;nein;1991;4589;AS680;/wiki/Fachhochschule_Erfurt;2012/13 (WS)
http://www.uni-erfurt.de/;Universität Erfurt;TH;staatlich;ja;1389/1994;5598;AS680;/wiki/Universit%C3%A4t_Erfurt;2012/13 (WS)
http://fau.de/;Friedrich-Alexander-Universität Erlangen-Nürnberg;BY;staatlich;ja;1742;39868;AS680;/wiki/Friedrich-Alexander-Universit%C3%A4t_Erlangen-N%C3%BCrnberg;2016/17 (WS)
http://www.folkwang-uni.de/;Folkwang Universität der Künste;NW;staatlich;ja;1927;1506;AS680;/wiki/Folkwang_Universit%C3%A4t_der_K%C3%BCnste;2012/13 (WS)
http://www.fom.de/;FOM Hochschule;NW;privat;nein;1993;21263;AS3320;/wiki/FOM_Hochschule;2012/13 (WS)
http://www.hs-esslingen.de/;Hochschule Esslingen;BW;staatlich;nein;1971;6018;AS553;/wiki/Hochschule_Esslingen;2012/13 (WS)
http://th-ewersbach.de/;Theologische Hochschule Ewersbach;HE;konfessionell;nein;"1912; FH seit 2011";67;AS20773;/wiki/Theologische_Hochschule_Ewersbach;2012/13 (WS)
http://www.hs-flensburg.de/;Hochschule Flensburg (Fachhochschule);SH;staatlich;nein;1886;4047;AS680;/wiki/Hochschule_Flensburg_(Fachhochschule);2012/13 (WS)
http://www.uni-flensburg.de/;Europa-Universität Flensburg;SH;staatlich;ja;1994;4662;AS680;/wiki/Europa-Universit%C3%A4t_Flensburg;2012/13 (WS)
http://frankfurt-university.de/;Fachhochschule Frankfurt am Main;HE;staatlich;nein;1971;10683;AS680;/wiki/Fachhochschule_Frankfurt_am_Main;2012/13 (WS)
http://www.frankfurt-school.de/;Frankfurt School of Finance & Management;HE;privat;ja;1957;1278;AS16509;/wiki/Frankfurt_School_of_Finance_%26_Management;2012/13 (WS)
http://www.hfmdk-frankfurt.de/;Hochschule für Musik und Darstellende Kunst Frankfurt am Main;HE;staatlich;ja;1938;862;AS680;/wiki/Hochschule_f%C3%BCr_Musik_und_Darstellende_Kunst_Frankfurt_am_Main;2012/13 (WS)
