URL; name; popularity; active; origin; first release; first release date; release count; last release date; last release; distrowatch url
http://www.scientificlinux.org/; scientific; 94 (126 hits per day); Active; USA;3.0.9; 2007-11-18;5;2017-10-02;7.4;http://distrowatch.com/scientific
http://www.securepoint.cc/; securepoint; 269 (26 hits per day); Active; Germany;2.0; 2001-12-13;8;2016-04-14;11.6.5;http://distrowatch.com/securepoint
http://www.skolelinux.org/; skolelinux; 207 (37 hits per day); Active; Norway;1.0; 2004-06-20;8;2017-06-18;9;http://distrowatch.com/skolelinux
http://www.slackel.gr/; slackel; 225 (34 hits per day); Active; Greece;5.0; 2013-10-16;3;2017-05-01;7.0;http://distrowatch.com/slackel
http://www.slackware.com/; slackware; 33 (301 hits per day); Active; USA;2.0.1; 1994-09-24;32;2018-01-22;current;http://distrowatch.com/slackware
http://www.slax.org/; slax; 74 (157 hits per day); Active; Czech Republic;2.9.0.22; 2003-09-22;9;2017-12-24;9.3.0;http://distrowatch.com/slax
http://www.slitaz.org/; slitaz; 131 (69 hits per day); Active; Switzerland;1.0; 2008-03-23;5;2016-09-25;5.0-rolling;http://distrowatch.com/slitaz
http://www.smeserver.org/; smeserver; 268 (26 hits per day); Active; USA;4.1.2; 2001-03-30;7;2017-05-02;9.2;http://distrowatch.com/smeserver
http://www.smoothwall.org/; smoothwall; 270 (26 hits per day); Active; United Kingdom;0.9; 2000-08-29;5;2016-11-27;3.1-SP3;http://distrowatch.com/smoothwall
http://www.sonicle.com/index.jsp; xstreamos; 204 (38 hits per day); Active; Italy;5.11-0.153; 2015-06-10;2;2017-07-01;154.1.0.0;http://distrowatch.com/xstreamos
http://www.sophos.com/en-us/products/unified.aspx; sophos; 234 (32 hits per day); Active; Germany;1.8; 2001-03-15;11;2017-03-14;9.411;http://distrowatch.com/sophos
http://www.sourcemage.org/; sourcemage; 250 (29 hits per day); Active; USA;0.5; 2003-03-16;8;2018-01-22;grimoiretest;http://distrowatch.com/sourcemage
http://www.spi.dod.mil/lipose.htm; tens; 213 (36 hits per day); Active; USA;1.2.5; 2011-09-27;6;2017-05-31;1.7.3;http://distrowatch.com/tens
http://www.stamus-networks.com/open-source/#selks; selks; 291 (23 hits per day); Active; France;1.0; 2014-10-16;2;2016-08-12;3.0;http://distrowatch.com/selks
http://www.sulix.hu/; sulix; 297 (22 hits per day); Active; Hungary;1.0.1; 2003-04-09;6;2016-04-22;8;http://distrowatch.com/sulix
http://www.supergrubdisk.org/rescatux/; rescatux; 195 (40 hits per day); Active; Spain;0.30.2; 2012-11-20;2;2017-12-09;0.51-beta3;http://distrowatch.com/rescatux
http://www.supergrubdisk.org/super-grub2-disk/; supergrub; 189 (41 hits per day); Active; Spain;2.02s9; 2017-05-07;1;2017-05-07;2.02s9;http://distrowatch.com/supergrub
http://www.suse.com/; sle; 118 (86 hits per day); Active; USA;9; 2004-11-08;5;2017-10-27;15-beta1;http://distrowatch.com/sle
http://www.swiftlinux.org/; swift; 272 (26 hits per day); Active; USA;0.1.2; 2011-08-21;3;2017-01-28;16;http://distrowatch.com/swift
http://www.system-rescue-cd.org/; systemrescue; 126 (76 hits per day); Active; France;0.2.15; 2004-08-18;20;2017-11-05;5.1.2;http://distrowatch.com/systemrescue
http://www.t2-project.org/; t2; 260 (28 hits per day); Active; Germany;2.1.1; 2006-01-15;4;2017-07-24;snapshot;http://distrowatch.com/t2
http://www.therebellin.com/; rebellin; 259 (28 hits per day); Active; India;1.00; 2012-08-19;6;2017-02-21;3.5;http://distrowatch.com/rebellin
http://www.thinstation.org/; thinstation; 273 (26 hits per day); Active; New Zealand;2.1.1; 2005-06-26;4;2016-06-27;5.5.1;http://distrowatch.com/thinstation
http://www.tinycorelinux.net/; tinycore; 48 (228 hits per day); Active; USA;1.4.3; 2009-05-25;8;2017-09-23;8.2;http://distrowatch.com/tinycore
http://www.trueos.org/; trueos; 9 (872 hits per day); Active; USA;1.11; 2006-06-19;16;2017-12-14;17.12;http://distrowatch.com/trueos
http://www.turnkeylinux.org/; turnkey; 287 (24 hits per day); Active; USA;11.3; 2011-12-06;4;2017-03-30;14.2;http://distrowatch.com/turnkey
http://www.ubuntu.com/; ubuntu; 4 (1,539 hits per day); Active; Isle of Man;4.10warty; 2004-10-20;28;2018-01-22;snapshot;http://distrowatch.com/ubuntu
http://www.ubuntukylin.com/; ubuntukylin; 116 (89 hits per day); Active; China;13.04raring; 2013-04-25;10;2017-10-19;17.10artful;http://distrowatch.com/ubuntukylin
http://www.uhulinux.hu/; uhu; 274 (26 hits per day); Active; Hungary;1.0juhhu!; 2003-04-18;7;2014-07-16;3;http://distrowatch.com/uhu
http://www.uibk.ac.at/tuxtrans/; tuxtrans; 299 (22 hits per day); Active; Austria;16.04; 2016-11-12;1;2016-11-12;16.04;http://distrowatch.com/tuxtrans
